8,0080381310068,,,1,,,SUNFOOD SUPERFOODS,,,,,RAW ORGANIC SUPERFOOD SMOOTHIE MIX,,,,8.00,,,OZ,,,,,,,6.00,,,,
9,0080381310092,,,1,,,SUNFOOD SUPERFOODS,,,,,ORGANIC SUPERFOODS AND PROTEIN,,,,8.00,,,OZ,,,,,,,5.90,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 5.00"",   Product: 3' 11.89""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085243400102,,,1,,,MACRO LIFE NATURALS,,,,,MIRACLE REDS SINGLE,,,,0.30,,,OZ,,,,Jul  3 2016 1,,,2.95,,,,
2,0085243400113,,,1,,,MACRO LIFE NATURALS,,,,,MIRACLE REDS CASE,,,,4.00,,,OZ,,,,Jul  3 2016 1,,,3.00,,,,
3,0085243400103,,,2,,,MACRO LIFE NATURALS,,,,,MIRACLE REDS,,,,10.00,,,OZ,,,,Jul  3 2016 1,,,3.60,,,,
4,0085243400132,,,1,,,MACRO LIFE NATURALS,,,,,GREENS REDS COMBO PACK,,,,4.00,,,OZ,,,,,,,2.90,,,,
5,0085243400101,,,1,,,MACRO LIFE NATURALS,,,,,MACRO GREENS SINGLE,,,,0.33,,,OZ,,,,Jul  3 2016 1,,,2.95,,,,
6,0085243400112,,,1,,,MACRO LIFE NATURALS,,,,,MACRO GREENS CASE,,,,3.97,,,OZ,,,,Jul  3 2016 1,,,3.00,,,,
Positio,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0005413990900,,,2,,,MACRO LIFE NATURALS,,,,,MACRO GREENS,,,,10.00,,,OZ,,,,Jul  3 2016 1,,,3.67,,,,
8,0085243400172,,,1,,,MACRO LIFE NATURALS,,,,,MACRO GREENS SUPERFOOD,,,,20.00,,,OZ,,,,Jul  3 2016 1,,,3.95,,,,
9,0007430680113,,,1,,,VIBRANT HEALTH,,,,,MAXIMUM VIBRANCE-PACKET,,,,0.83,,,OZ,,,,Jul  3 2016 1,,,3.95,,,,
10,0007430680114,,,1,,,VIBRANT HEALTH,,,,,MAXIMUM VIBRANCE-CS,,,,8.29,,,OZ,,,,Jul  3 2016 1,,,4.12,,,,
11,0007430680100,,,2,,,VIBRANT HEALTH,,,,,MAXIMUM VIBRANCE,,,,22.10,,,OZ,,,,Jul  3 2016 1,,,4.95,,,,
12,0007430680128,,,1,,,VIBRANT HEALTH,,,,,MAXIMUM VIBRANCE-CHOCOLATE,,,,724.50,,,GM,,,,Jul  3 2016 1,,,4.95,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
